YEAR,MONTH,STATE_NAME,CO2_QTY_TONNES,COUNTRY_TRAFFIC,FUEL_CONSUMPTION_TONNES
2010,6,DENMARK,226060.68,16822,71538.19
2010,6,FINLAND,166824.04,12018,52792.42
2010,6,FRANCE,1686963.52,89888,533849.22
2010,6,GERMANY,2457469.22,106474,777680.13
2010,6,GREECE,395641.78,24242,125203.09
2010,6,HUNGARY,65325.86,5154,20672.74
2010,6,IRELAND,190386.24,10958,60248.81
2010,6,ITALY,1132813.94,81590,358485.42
2010,6,LITHUANIA,18406.66,1827,5824.89
2010,6,LUXEMBOURG,99107.07,2467,31363.0
2010,6,MALTA,30300.82,1635,9588.87
2010,6,NETHERLANDS,814180.13,24929,257651.94
2010,6,POLAND,173032.12,14287,54757.0
2010,6,PORTUGAL,293490.64,14050,92876.78
2010,6,ROMANIA,86971.54,8029,27522.64
2010,6,SLOVAKIA,16506.93,1814,5223.71
2010,6,SLOVENIA,12356.21,1747,3910.19
2010,6,SPAIN,1320996.86,74839,418036.98
2010,6,SWEDEN,243869.87,23016,77174.01
2010,7,AUSTRIA,208427.09,17583,65957.94
2010,7,BELGIUM,374229.42,14640,118427.03
2010,7,BULGARIA,87782.77,5190,27779.36
2010,7,CROATIA,58511.42,5637,18516.27
2010,7,CYPRUS,104990.42,3386,33224.82
2010,7,DENMARK,241492.61,15474,76421.71
2010,7,FINLAND,160366.03,9335,50748.74
2010,7,FRANCE,1864305.81,91747,589970.19
2010,7,GERMANY,2588814.72,106493,819245.17
2010,7,GREECE,457339.91,27705,144727.82
2010,7,HUNGARY,70631.8,5595,22351.84
2010,7,IRELAND,209430.62,11794,66275.51
2010,7,ITALY,1235128.44,89431,390863.43
2010,7,LITHUANIA,19118.65,1777,6050.21
2010,7,LUXEMBOURG,99177.88,2451,31385.41
2010,7,MALTA,32924.58,1777,10419.17
2010,7,NETHERLANDS,893929.24,25494,282889.0
2010,7,POLAND,183166.34,14333,57964.03
2010,7,PORTUGAL,332494.16,15893,105219.67
2010,7,ROMANIA,93140.81,8307,29474.94
2010,7,SLOVAKIA,18335.99,1942,5802.53
2010,7,SLOVENIA,13947.3,1818,4413.7
2010,7,SPAIN,1476462.69,81474,467235.03
2010,7,SWEDEN,223320.41,17092,70671.02
2010,8,AUSTRIA,202127.03,17043,63964.25
2010,8,BELGIUM,366957.79,13982,116125.88
2010,8,BULGARIA,90372.41,5226,28598.86
2010,8,CROATIA,59130.11,5693,18712.06
2010,8,CYPRUS,106437.11,3506,33682.63
2010,8,DENMARK,236138.0,16180,74727.22
2010,8,FINLAND,163478.54,11275,51733.72
2010,8,FRANCE,1831038.71,84359,579442.63
2010,8,GERMANY,2578898.05,102472,816106.98
2010,8,GREECE,465990.36,28779,147465.3
2010,8,HUNGARY,72030.43,5454,22794.44
2010,8,IRELAND,199790.17,11386,63224.74
